"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",3.07849868632989e-140,1.83184559520183,1,1,7.50722689648406e-136
"Lars2",7.09792351528899e-61,1.44717016664182,1,1,1.73089962843837e-56
"AY036118",2.72112614316641e-30,-1.15647887992325,1,1,6.63573821272561e-26
"mt-Atp8",9.35172452594554e-26,1.49970550180516,1,1,2.28051154289708e-21
"Rps29",2.49283212640472e-21,0.37617669234424,1,1,6.07902042345054e-17
"Atp1a1",4.08631081113951e-21,0.43262155236833,1,1,9.9648775440448e-17
"Mbd2",1.0293163556182e-20,-1.08026125143695,1,1,2.51009086481055e-16
"Nme7",2.31554678069365e-20,0.845648320383253,1,1,5.64669237939954e-16
"Gm10076",2.69440317056443e-20,0.716589527148303,1,1,6.57057157173841e-16
"Kirrel2",5.4506020494659e-20,-0.871352766474035,1,1,1.32918381578275e-15
"Son",3.51010109012814e-19,0.466304798162377,1,1,8.55973251838649e-15
"Nrn1l",5.22759264461257e-19,-0.834929696295999,1,1,1.27480074231522e-14
"Brd1",7.50296642359105e-19,-1.38948498889442,1,1,1.82967339205691e-14
"Hnrnpa0",1.21253800410943e-18,-0.87725813071683,1,1,2.95689517682126e-14
"Map1b",7.48790370589553e-18,0.293649035914366,1,1,1.82600019771969e-13
"Sgpl1",7.66247683756262e-18,0.391726108274367,1,1,1.86857160160802e-13
"Khdrbs3",2.61476517074492e-17,-0.963597877006153,1,1,6.37636634537857e-13
"Mycbp2",4.92053759864707e-17,0.370188584177296,1,1,1.19992229880608e-12
"Slc12a2",4.93629758948832e-17,0.444282502992414,1,1,1.20376553017262e-12
"Sdc3",5.04857164708687e-17,0.626415530894078,1,1,1.23114468185861e-12
"Dst",9.29404013317097e-17,0.540098579682487,1,1,2.26644462687507e-12
"Tuba1a",1.03895019722069e-16,-0.464217262962236,1,1,2.53358395094238e-12
"Ppp3ca",2.40673522882414e-16,0.626373412457197,1,1,5.86906452901055e-12
"Scn9a",7.8263855687912e-16,0.315288085282877,1,1,1.90854238480542e-11
"Herpud1",1.05325539208389e-15,-1.00548944120679,1,1,2.56846859913578e-11
"Atp5k",1.06622658386306e-15,0.409888353742649,1,1,2.60010014740845e-11
"Rpl35",1.18349871999142e-15,0.533983581066143,1,1,2.88607997857109e-11
"Fstl5",1.81076402847298e-15,0.272089778563803,1,1,4.41572915983422e-11
"Gnal",3.14067388336491e-15,0.34955236854706,1,1,7.65884733197366e-11
"Flrt1",6.01514982146612e-15,0.376465027315687,1,1,1.46685443546273e-10
"Ndufb1-ps",6.64887931296569e-14,0.354608079789032,1,1,1.62139570925981e-09
"Uba52",1.36562007766625e-13,0.619997922838934,1,1,3.33020112139691e-09
"Cntn4",3.83423652038549e-13,0.353750579344061,1,1,9.35016917861207e-09
"mt-Nd3",8.42226287291505e-13,0.927280562395576,1,1,2.05385302418906e-08
"Lrguk",2.25109266504792e-12,0.417720604407987,1,1,5.48951457298585e-08
"Chd4",3.6794509418983e-12,0.341672445533119,1,1,8.97270906691318e-08
"Cul3",1.967337684753e-11,-0.67320937294073,1,1,4.79754967803866e-07
"Rps21",4.63029609474025e-11,0.28665693323889,1,1,1.12914400566336e-06
"Adcy3",4.71376439381531e-11,0.331385324684165,1,1,1.1494985850758e-06
"Ptprs",5.56432654446308e-11,0.425397198609945,1,1,1.35691667113277e-06
"Igf1r",1.08749216826034e-10,0.392390053763831,1,1,2.65195840151968e-06
"Nbea",1.17113822642901e-10,0.517624483187703,1,1,2.8559376789698e-06
"Gm11992",1.29767399232079e-10,-0.578848225982081,1,1,3.16450779767348e-06
"Serpine2",1.3780169520325e-10,0.350362713718184,1,1,3.36043213922644e-06
"Rpl38",1.65282613995181e-10,0.340007467659467,1,1,4.03058182488649e-06
"mt-Nd4l",3.0404046050191e-10,1.10382727147257,1,1,7.41433066979958e-06
"Ncam1",3.75197017657982e-10,0.222123548013767,1,1,9.14955447260755e-06
"Rps28",4.03103406092098e-10,0.272563944521031,1,1,9.83007966096191e-06
"Cdkl4",5.42519047958776e-10,0.468894593526754,1,1,1.32298695035227e-05
"Cd55",6.43961097437856e-10,-1.38282679706892,1,1,1.57036353221196e-05
"Tenm2",7.37958189198598e-10,0.475957057269143,1,1,1.7995848401797e-05
"Mslnl",9.23428502121409e-10,0.436757762068494,1,1,2.25187274527327e-05
"Pcbp2",1.25087585001507e-09,0.302342311524556,1,1,3.05038584784676e-05
"Hspa8",1.26186068073941e-09,-0.391786542230701,1,1,3.07717345605112e-05
"Prrc2b",1.48907144459844e-09,0.319734012636959,1,1,3.63124962479775e-05
"Akap9",2.02743905051536e-09,0.347942468415617,1,1,4.94411286858675e-05
"Xist",2.04272478193715e-09,0.285927147146846,1,1,4.98138865323194e-05
"Chchd2",4.31746579977637e-09,-0.377670808689509,1,1,0.000105285720993347
"Syt7",4.690209482436e-09,0.386260864597472,1,1,0.000114375448438684
"Gapdh",5.75698121909301e-09,-0.430069910262153,1,1,0.000140389744008802
"Gm6619",5.77034241229192e-09,-0.698741092951561,0,1,0.000140715570066151
"Msi2",6.1493590805312e-09,0.217661525864482,1,1,0.000149958270537834
"Plac8",6.31743703967042e-09,-0.715480428712451,0.75,1,0.000154057019649403
"Hnrnpm",6.73049979870231e-09,0.271399214495079,1,1,0.000164129968091154
"Purb",9.98393246914967e-09,-0.440606633200428,1,1,0.000243468177192684
"Gng13",1.00476273727787e-08,0.187458680268667,1,1,0.000245021441112582
"Endod1",1.03022796720869e-08,0.268934871857855,1,1,0.00025123139208351
"AC109619.1",1.06529475068267e-08,0.410205697096333,1,1,0.000259782777901477
"Csnk2a2",1.13184341622711e-08,-0.809425413850828,1,1,0.000276011335481142
"Kif1b",1.43388646883912e-08,0.27623333994197,1,1,0.000349667554291109
"Sema7a",1.49733617959569e-08,0.752053146543762,1,1,0.000365140400756206
"Ptbp3",1.73107602760296e-08,0.37645013666447,1,1,0.000422140200091258
"Camk2d",2.16289231645989e-08,0.272591175017672,1,1,0.000527442920291909
"Hist1h4d",2.27520938189018e-08,0.620354242452944,1,1,0.00055483255986774
"Auts2",2.41899951554049e-08,0.311413047628446,1,1,0.000589897221859704
"Atp6v1e1",2.44540620999426e-08,0.398534508568338,1,1,0.000596336758369201
"Clstn2",2.67193831532732e-08,0.449687638212023,1,1,0.00065157887757572
"Glb1l2",3.27024600287234e-08,0.405066888113752,1,1,0.000797482190260449
"Ddit3",3.89225221079307e-08,-0.641917898227239,1,1,0.000949164624123998
"Hist1h2bc",4.07301140629057e-08,-0.49915249201655,1,1,0.000993244561538019
"Foxp1",4.07875560447863e-08,0.281160800288407,1,1,0.000994645341708158
"Macf1",4.10481810612275e-08,0.212243478756137,1,1,0.00100100094335909
"Ubb",4.34114523028861e-08,-0.346677178883384,1,1,0.00105863167585818
"Sult1d1",4.34545516928369e-08,0.217751076081238,1,1,0.00105968269758152
"Sptbn1",4.70249706519159e-08,0.288305633827265,1,1,0.00114675093431762
"Syt11",6.11738710186763e-08,0.28372415130707,1,1,0.00149178601866144
