"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",5.41940587459057e-62,2.99242957251578,1,1,1.32157631657766e-57
"Gm10076",6.76398199974321e-42,-2.29665753057971,1,1,1.64946465045738e-37
"Ubb",2.87106633295172e-33,-0.923869579809748,1,1,7.00138235953607e-29
"Obp1a",1.49841357340618e-23,-2.6762061341496,0.5,1,3.65403134010832e-19
"Tmsb10",5.55390107695487e-20,-0.608985079890625,1,1,1.35437431662621e-15
"Ier2",4.4857655040765e-18,-0.94890885611847,1,1,1.0938987758241e-13
"Lars2",4.53142606603456e-18,2.05404638531556,1,1,1.10503356046319e-13
"Ppia",5.7046422320922e-15,-0.373391944637514,1,1,1.391134054718e-10
"Obp1b",1.02873297925976e-13,-2.24140188394141,0,1,2.50866824322285e-09
"Ifitm3",2.80488023335576e-13,-0.425318513650766,1,1,6.83998093706137e-09
"Rpl11",4.99009993303085e-13,-0.367989483720561,1,1,1.2168857696689e-08
"Rpl9",2.15425631992974e-12,-0.587538887097449,1,1,5.25336946178065e-08
"Myl6",3.2828664646106e-12,-0.642670642128512,1,1,8.00559816059942e-08
"Rpl15",7.66617804992263e-12,-0.46058965164381,1,1,1.86947417925413e-07
"mt-Atp8",1.02203289376111e-11,1.84459317416736,1,1,2.49232941472583e-07
"Naca",1.93662325137156e-11,-0.388923372036414,1,1,4.72264946079469e-07
"H3f3a",3.46194553118979e-11,-0.402315232909443,1,1,8.44230037235942e-07
"Gapdh",5.30239431010913e-11,-0.537015057319691,1,1,1.29304187646321e-06
"Jund",6.80243257306287e-11,-0.77785347536441,1,1,1.65884120726711e-06
"Btf3",9.13341754486741e-11,-0.334985216671986,1,1,2.22727520249137e-06
"Plek",1.18769693801647e-10,1.12310266638042,1,1,2.89631775304697e-06
"Rpl10a",1.54808926313275e-10,-0.518642696587184,1,1,3.77517047707552e-06
"H3f3b",2.06142962852611e-10,-0.527303456424198,1,1,5.02700229212377e-06
"Rpl29",4.0652678357064e-10,-0.306651295947788,1,1,9.91356214415362e-06
"Rps7",6.35913816483603e-10,-0.47314936205874,1,1,1.55073943287691e-05
"Rpl18",6.46026183643976e-10,-0.446137611135924,1,1,1.5753994514342e-05
"S100a10",8.42962726514893e-10,-0.357590133213777,1,1,2.05564890487922e-05
"Rps4x",1.10072862434625e-09,-0.382281142006907,1,1,2.68423682333077e-05
"Ftl1",1.15459153204091e-09,-0.367644953312677,1,1,2.81558691003497e-05
"Ifitm2",1.25538198505426e-09,-0.580429421195958,1,1,3.06137450875332e-05
"Ybx1",1.55718277298985e-09,-0.496955316417564,1,1,3.79734591021304e-05
"Rps3a1",1.73235326167532e-09,-0.253485920415169,1,1,4.22451666392143e-05
"Atp5h",2.57779752046493e-09,-0.351730169390836,1,1,6.28621703340578e-05
"Socs3",2.96538771831299e-09,-0.664337417745124,1,1,7.23139448987806e-05
"Fcer1g",3.54849082009138e-09,-0.278567325362601,1,1,8.65334971387484e-05
"Rps27a",4.54032181704712e-09,-0.29865815814632,1,1,0.000110720287830511
"Rplp0",5.79705786977611e-09,-0.321949996980264,1,1,0.00014136705321236
"Rps3",7.9567790744216e-09,-0.270988057217695,1,1,0.000194034014508845
"Rpl21",9.2545702890667e-09,-0.251591826576863,1,1,0.00022568195106918
"Eif1",9.37792354342139e-09,-0.355452777291013,1,1,0.000228690043529874
