"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140241","translation at synapse",48,-0.903379713202385,-2.84585897236503,1e-10,1.37727272727273e-08,1.17703349282297e-08,1212,"tags=83%, list=6%, signal=78%","Rpl29/Eef2/Rpl14/Rpl13a/Rpl6/Rpl24/Rpl10a/Rpl7a/Rpl9/Rpl5/Rpl23a/Rpl7/Rps12/Rps10/Rps14/Rps24/Rpl28/Rpl17/Rps16/Rpl27a/Rplp2/Rpl26/Rps27a/Rpl32/Rps11/Rpl23/Rpl27/Rpl35/Rpl36/Rpl22/Rpl38/Rpl35a/Rpl34/Rps15a/Rpl36a/Rps26/Rpl37a/Rpl37/Rps28/Rps27"
"GO:0140242","translation at postsynapse",48,-0.903379713202385,-2.84585897236503,1e-10,1.37727272727273e-08,1.17703349282297e-08,1212,"tags=83%, list=6%, signal=78%","Rpl29/Eef2/Rpl14/Rpl13a/Rpl6/Rpl24/Rpl10a/Rpl7a/Rpl9/Rpl5/Rpl23a/Rpl7/Rps12/Rps10/Rps14/Rps24/Rpl28/Rpl17/Rps16/Rpl27a/Rplp2/Rpl26/Rps27a/Rpl32/Rps11/Rpl23/Rpl27/Rpl35/Rpl36/Rpl22/Rpl38/Rpl35a/Rpl34/Rps15a/Rpl36a/Rps26/Rpl37a/Rpl37/Rps28/Rps27"
"GO:0140236","translation at presynapse",47,-0.90299454585619,-2.82504863181722,1e-10,1.37727272727273e-08,1.17703349282297e-08,1212,"tags=83%, list=6%, signal=78%","Rpl29/Rpl14/Rpl13a/Rpl6/Rpl24/Rpl10a/Rpl7a/Rpl9/Rpl5/Rpl23a/Rpl7/Rps12/Rps10/Rps14/Rps24/Rpl28/Rpl17/Rps16/Rpl27a/Rplp2/Rpl26/Rps27a/Rpl32/Rps11/Rpl23/Rpl27/Rpl35/Rpl36/Rpl22/Rpl38/Rpl35a/Rpl34/Rps15a/Rpl36a/Rps26/Rpl37a/Rpl37/Rps28/Rps27"
"GO:0015986","proton motive force-driven ATP synthesis",53,-0.823430815247001,-2.63300757654509,1e-10,1.37727272727273e-08,1.17703349282297e-08,1154,"tags=64%, list=6%, signal=60%","Ndufs2/Ndufs4/Sdhd/Ndufab1/Ndufs6/Ndufa11/Ndufb9/Ndufa10/Ndufb8/Ndufs1/Ndufa12/Atp6v1a/Ndufb7/Ndufb5/Sdhc/Ndufa13/Ndufb6/Ndufb10/Ndufc2/Ndufb11/Ndufa5/Ndufs5/Ndufb3/Ndufv3/Ndufa2/Ndufb2/Ndufa7/mt-Nd3/Ndufb4/Ndufc1/Ndufa6/Ndufa3/Ndufa1/mt-Nd4l"
"GO:0019646","aerobic electron transport chain",63,-0.791627829597732,-2.62161974552648,1e-10,1.37727272727273e-08,1.17703349282297e-08,1154,"tags=51%, list=6%, signal=48%","Ndufs2/Park7/mt-Cytb/Sdhd/Uqcrfs1/Ndufs6/Iscu/Ndufb9/Cox5a/Ndufa10/Ndufb8/Dld/Ndufs1/Uqcrq/Cox4i1/Sdhc/Cox7a2l/Ndufb6/Ndufc2/Uqcc3/Uqcrb/Cox7a2/Cox5b/Ndufa7/Cox8a/Uqcrh/mt-Nd3/Uqcr10/Cox6a1/Cox7c/Cox7b/Uqcr11"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",52,-0.821348077672425,-2.61425620248533,1e-10,1.37727272727273e-08,1.17703349282297e-08,1154,"tags=63%, list=6%, signal=60%","Ndufs2/Ndufs4/Sdhd/Ndufab1/Ndufs6/Ndufa11/Ndufb9/Ndufa10/Ndufb8/Ndufs1/Ndufa12/Ndufb7/Ndufb5/Sdhc/Ndufa13/Ndufb6/Ndufb10/Ndufc2/Ndufb11/Ndufa5/Ndufs5/Ndufb3/Ndufv3/Ndufa2/Ndufb2/Ndufa7/mt-Nd3/Ndufb4/Ndufc1/Ndufa6/Ndufa3/Ndufa1/mt-Nd4l"
"GO:0002181","cytoplasmic translation",161,-0.699678883990866,-2.60318699828424,1e-10,1.37727272727273e-08,1.17703349282297e-08,2029,"tags=53%, list=11%, signal=48%","Rpl4/Csde1/Eif3e/Cpeb3/Eif2s2/Rpl18a/Dhx36/Rpl18/Rps5/Rps3/Sh3bgrl/Nck1/Rps18/Eif3k/Rps15/Eif5/Rwdd1/Rpl29/Eef2/Rplp0/Rpl3/Rpl14/Rpl13a/Cpeb4/Rpl6/Rpl24/Rpl10a/Rpl7a/Rpl9/Ythdf2/Rpl5/Rps3a1/Eif4a1/Rps4x/Rps17/Rpl23a/Rpl7/Rps12/Rps10/Rpl31/Rps14/Rps7/Rps24/Rps20/Eif3h/Rpl28/Rps19/Rpl11/Rplp1/Rpl17/Rps16/Rpl27a/Eif3f/Rplp2/Rpl26/Rps27a/Rps13/Rpl21/Rps23/Rpl32/Rpl22l1/Rps8/Rps25/Rpl41/Rps11/Rpl23/Eif4a2/Fau/Rpl27/Rpl35/Rpl36/Rps29/Rpl22/Rpl38/Rpl30/Rpl35a/Rpl34/Rps15a/Rpl36a/Rps26/Rpl37a/Rpl37/Rps28/Rpl39/Rps21"
"GO:0033108","mitochondrial respiratory chain complex assembly",106,-0.720945744738165,-2.57894331289276,1e-10,1.37727272727273e-08,1.17703349282297e-08,1408,"tags=48%, list=7%, signal=45%","Ttc19/Aifm1/Timm21/Dmac2/Ndufs2/Ndufs4/Slc25a33/Ndufaf3/Cox14/Ndufab1/Ndufs6/Lyrm2/Ndufa11/Ndufb9/Higd1a/Cox19/Ndufa10/Ndufb8/Ndufs1/Ndufa12/Ndufaf8/Cox16/Tmem223/Higd2a/Ndufb7/Ndufb5/Cox20/Cox7a2l/Uqcc2/Ndufa13/Ndufaf4/Ndufb6/Ndufb10/Ndufc2/Uqcc3/Ndufb11/Ndufa5/Sdhaf4/Ndufs5/Cox7a2/Ndufb3/Ndufa2/Ndufb2/Pet100/Cox17/Ndufb4/Ndufc1/Ndufa6/Fmc1/Ndufa3/Ndufa1"
"GO:0010257","NADH dehydrogenase complex assembly",59,-0.794614925621834,-2.55666313923813,1e-10,1.37727272727273e-08,1.17703349282297e-08,1408,"tags=58%, list=7%, signal=54%","Aifm1/Timm21/Dmac2/Ndufs2/Ndufs4/Ndufaf3/Ndufab1/Ndufs6/Lyrm2/Ndufa11/Ndufb9/Ndufa10/Ndufb8/Ndufs1/Ndufa12/Ndufaf8/Ndufb7/Ndufb5/Ndufa13/Ndufaf4/Ndufb6/Ndufb10/Ndufc2/Ndufb11/Ndufa5/Ndufs5/Ndufb3/Ndufa2/Ndufb2/Ndufb4/Ndufc1/Ndufa6/Ndufa3/Ndufa1"
"GO:0032981","mitochondrial respiratory chain complex I assembly",59,-0.794614925621834,-2.55666313923813,1e-10,1.37727272727273e-08,1.17703349282297e-08,1408,"tags=58%, list=7%, signal=54%","Aifm1/Timm21/Dmac2/Ndufs2/Ndufs4/Ndufaf3/Ndufab1/Ndufs6/Lyrm2/Ndufa11/Ndufb9/Ndufa10/Ndufb8/Ndufs1/Ndufa12/Ndufaf8/Ndufb7/Ndufb5/Ndufa13/Ndufaf4/Ndufb6/Ndufb10/Ndufc2/Ndufb11/Ndufa5/Ndufs5/Ndufb3/Ndufa2/Ndufb2/Ndufb4/Ndufc1/Ndufa6/Ndufa3/Ndufa1"
