"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",1.69961950722105e-130,2.07022857436729,1,1,4.14469213030926e-126
"Gm10076",8.48137772895973e-73,-2.38938340371584,1,1,2.06826877298412e-68
"mt-Atp8",1.23570129523156e-55,1.96024562600209,1,1,3.01338117855168e-51
"Lars2",1.08337998883519e-54,1.86796852932956,1,1,2.6419304407735e-50
"Gstp1",2.81826158070171e-43,-1.4610375372042,1,1,6.87261269069918e-39
"Rpl10",8.0460988320508e-38,-1.26844942884467,1,1,1.96212166118391e-33
"Eno1",1.63840092035403e-32,-1.20858409687498,1,1,3.99540448437533e-28
"Ubb",4.48070573308125e-32,-1.2542325763696,1,1,1.09266490006919e-27
"Slc5a3",1.03164248409337e-30,1.38017593734873,1,1,2.5157633617101e-26
"Mbd2",3.25081512874827e-28,-0.96647588680196,1,1,7.92743777296553e-24
"Fth1",9.22297583440752e-28,-1.07482890332987,1,1,2.24911488697862e-23
"Gpx2",1.56857501791761e-27,-0.944126476597676,1,1,3.82512703869389e-23
"Nme2",8.74569526619692e-27,-0.72548987940743,1,1,2.13272524761478e-22
"Gsto2",1.68207408133193e-26,1.39217343206651,1,1,4.10190585473605e-22
"Nr1d1",1.26720239985384e-25,1.36861751002283,1,1,3.09019977228357e-21
"Mecom",1.29457294215891e-25,1.33807356667925,1,1,3.15694557674872e-21
"Gm20186",1.49209509518495e-25,-0.972420168998235,1,1,3.63862309911801e-21
"Ftl1",4.11653836232509e-24,-1.04352631307496,1,1,1.0038590450366e-19
"Gpx4",4.46275615499439e-24,-0.806104272290342,1,1,1.08828771595693e-19
"Mgst1",2.63851060296642e-23,-0.757671484787177,1,1,6.43427195639392e-19
"Rtraf",9.26257472721837e-23,-0.715327141519119,1,1,2.25877147297947e-18
"Sf3b6",1.72262213343161e-22,-0.775241597439996,1,1,4.20078633458633e-18
"Rplp0",2.56082750024458e-22,-0.643730331424641,1,1,6.24483394209643e-18
"Ndufb6",2.97505244522783e-22,-0.692337837956964,1,1,7.25496289293258e-18
"Rpl11",4.07821943119251e-22,-0.73041006995117,1,1,9.94514590490604e-18
"Rpl35",7.05015881745431e-22,-0.808322094742885,1,1,1.71925172922441e-17
"Uba52",9.08084531920731e-22,-0.92595279039509,1,1,2.2144549395419e-17
"Adh5",1.45613584276349e-21,-0.762332335504399,1,1,3.55093286616304e-17
"Mdh2",2.31799034528937e-21,-0.65373160357935,1,1,5.65265125602266e-17
"Mgst3",2.35967511068628e-21,-0.803960993035361,1,1,5.75430372491956e-17
"Ppia",5.06305315629627e-21,-0.775904193153016,1,1,1.23467614269441e-16
"Rps4x",6.46245016104309e-21,-0.787828544406253,1,1,1.57593309627197e-16
"Rpl9",6.71988425371286e-21,-0.806457755793874,1,1,1.63871097411042e-16
"Ybx3",1.09326756756111e-20,-0.729824953032295,1,1,2.66604229025453e-16
"Naca",1.46296159731721e-20,-0.799440138965409,1,1,3.56757815121776e-16
"Rps7",1.47366189311347e-20,-0.726875278155652,1,1,3.5936718925465e-16
"Cbr3",5.16295502575611e-20,-0.703750396153941,1,1,1.25903821258089e-15
"Ppib",6.93159826819259e-20,-0.764257039134516,1,1,1.69033955368145e-15
"Rpl32",7.16991493089025e-20,-0.630598557189494,1,1,1.7484554550469e-15
"Lrig1",7.41537567246607e-20,1.22823901100122,1,1,1.80831351148757e-15
"Ssr4",8.85652890591597e-20,-0.777065874910532,1,1,2.15975313899667e-15
"Cox5a",1.63142444317773e-19,-0.814024089363305,1,1,3.97839164713322e-15
"Milr1",1.71351478070221e-19,1.08721406775565,1,1,4.1785771442204e-15
"Txn1",1.8304480972142e-19,-0.700558866859782,1,1,4.46373072986654e-15
"Mrps14",1.98431309924639e-19,-0.624199163449994,1,1,4.83894592382225e-15
"Nr1d2",2.26868304031912e-19,1.20190588073874,1,1,5.53241046212221e-15
"Cox5b",2.60417661894304e-19,-0.806034113657655,1,1,6.3505451029545e-15
"Psmb3",3.10144344573125e-19,-0.751278641316565,1,1,7.56317998676024e-15
"Gapdh",4.62028862755473e-19,-0.800239311350604,1,1,1.1267035847155e-14
"Brd1",4.67303604643791e-19,-0.688802769745845,1,1,1.13956657028435e-14
"Mrps33",4.78099281106999e-19,-0.638553591975018,1,1,1.16589290690753e-14
"Spcs1",4.79679940910232e-19,-0.899493913130335,1,1,1.16974750390369e-14
"H2afz",5.13563096757247e-19,-0.911069563942273,1,1,1.25237496775222e-14
"Vdac2",5.36449376448125e-19,-0.713427089046963,1,1,1.3081854494064e-14
"Eif5a",8.84586307878958e-19,-0.758961291742867,1,1,2.15715217039363e-14
"Rpl15",9.4939059415833e-19,-0.705649312502216,1,1,2.3151839029145e-14
"Gsta3",1.06921021939702e-18,-0.617386488216014,1,1,2.60737604102158e-14
"Rps5",1.19990761590046e-18,-0.64464621905784,1,1,2.92609471213486e-14
"Gls",1.32066039144899e-18,1.15841875992401,1,1,3.22056243058751e-14
"Mrps24",1.34459620775336e-18,-0.605667751230917,1,1,3.27893231222734e-14
"Lag3",2.01885640432479e-18,1.02243699964384,1,0.75,4.92318322758642e-14
"U2af1",2.13577138588149e-18,-0.626904068502915,1,1,5.20829210161061e-14
"Psmb2",2.93600179168402e-18,-0.541669699184758,1,1,7.15973396920065e-14
"Snrpe",3.79244560805517e-18,-0.55839120925016,1,1,9.24825785980334e-14
"Rpl18",4.74444051786633e-18,-0.543465559296837,1,1,1.15697926468688e-13
"Rpl19",5.52581295469574e-18,-0.60589159464104,1,1,1.3475247471321e-13
"Mrpl20",5.5316220442894e-18,-0.585688573624897,1,1,1.34894135172041e-13
"Atp5g1",6.15333302552639e-18,-0.675554419920485,1,1,1.50055179160486e-13
"Cebpb",6.97490211878116e-18,-0.78077277147025,1,1,1.70089963068597e-13
"Rpl10a",7.27603651902556e-18,-0.633003590265832,1,1,1.77433426552957e-13
"Rps10",7.65556992794731e-18,-0.644127521942746,1,1,1.86688728262923e-13
"Nudc",9.36693785898494e-18,-0.681443127727619,1,1,2.28422146629207e-13
"Mif",1.06389602685109e-17,-0.505949759505802,1,1,2.59441685107907e-13
