"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Serpina3g",3.05846386138366e-11,3.76256639300359,1,0.667,7.4583699723702e-07
"Slfn5",3.43405995225585e-11,2.3758176053285,1,1,8.37429859957111e-07
"Ms4a6b",3.89369094234663e-11,1.83150749318922,1,1,9.49515473200649e-07
"Gbp4",4.10119200293287e-11,2.57391922724132,1,1,1.00011668183521e-06
"Ndufa6",4.46623177362878e-11,-0.95499150018484,1,1,1.08913528031711e-06
"Tnfsf9",5.01719888410417e-11,-1.66706454936201,0.75,1,1.22349411987764e-06
"Snrpg",7.11745558181757e-11,-1.59173313478449,0.75,1,1.73566271818203e-06
"H2-T22",9.53877457237847e-11,1.67977416943529,1,1,2.32612556722021e-06
"Atpif1",1.07502197374816e-10,-1.26623449646589,1,1,2.62154858518226e-06
"Mgl2",1.28651812598367e-10,-2.37727083470756,0.75,1,3.13730310202379e-06
"C3ar1",1.33665016484666e-10,1.44691131980432,0.75,1,3.25955509199506e-06
"Mndal",1.37305857419048e-10,1.98092758126759,1,1,3.34834063902091e-06
"Mxd1",1.49473979400177e-10,2.33100104307002,1,1,3.64507246165271e-06
"Rasa4",1.88349962323118e-10,2.08667532218317,1,1,4.59310218121156e-06
"Dhx58",2.42206421331504e-10,2.31351798218678,1,1,5.90644579059005e-06
"Anxa4",2.60186730817963e-10,1.66337525021026,1,1,6.34491361772685e-06
"Trim30d",2.69569136360486e-10,1.89773444669375,1,1,6.5737129592868e-06
"Iigp1",3.36811169550319e-10,4.64947128246899,1,0.333,8.21347718065408e-06
"Tap1",3.60892412106375e-10,1.8841456946763,1,1,8.80072236162605e-06
"Clec10a",3.65343968949903e-10,-1.09037550626339,1,1,8.90927802681233e-06
"Trim30c",3.70854929262623e-10,1.78793345513799,1,1,9.04366830499832e-06
"Peli1",3.8317533467445e-10,1.8569185176237,1,1,9.34411371137115e-06
"Il18bp",4.24798905036658e-10,1.60777267022875,0.75,0.667,1.0359146098224e-05
"H2-Q4",4.53542628456855e-10,1.54942097287525,1,1,1.10600905375489e-05
"Cd274",4.87365316493693e-10,1.51659418435312,0.75,1,1.18848906080152e-05
"Atp5e",4.95907225762563e-10,-1.01096960212256,1,1,1.20931936074459e-05
"Ndfip1",5.0560748789442e-10,-1.01995099788586,1,1,1.23297441997933e-05
"Ifi207",5.21212598756431e-10,2.44138441884573,1,1,1.27102904332743e-05
"Resf1",5.62690757400946e-10,2.03911018919838,1,1,1.37217768099795e-05
"Ifi206",8.01633007083919e-10,2.89338431395923,1,1,1.95486225107484e-05
"Klf2",8.30834548509203e-10,-1.45584921223993,1,1,2.02607312999454e-05
"Rpl35",9.59030654824211e-10,-1.19524119829951,1,1,2.33869215485432e-05
"Cited2",1.13372838170654e-09,1.80063604912422,1,1,2.76471003162957e-05
"Lgals3bp",1.14758524443135e-09,2.49296735199863,1,1,2.7985013770703e-05
"Lacc1",1.17285372417168e-09,1.51416525059706,1,1,2.86012109176506e-05
"Ddit3",1.29777925195146e-09,1.69234512983532,1,1,3.16476448380883e-05
"Tmem176b",1.30840538906451e-09,-1.23824562287851,1,1,3.19067738177272e-05
"Acod1",1.36414456479943e-09,1.27534935716596,0.75,0,3.32660293571988e-05
"Gbp7",1.39008573742006e-09,3.39849769632317,1,1,3.38986307927257e-05
"Nap1l1",1.43474001200856e-09,-0.551213947311703,1,1,3.49875699328408e-05
"Sct",1.48388395765057e-09,2.18293285339314,0.75,0,3.61859941912669e-05
"Egr1",1.67664341948784e-09,-1.31341582902647,1,1,4.08866264276304e-05
"Creb5",1.74939847699233e-09,1.89437271944261,1,1,4.2660831259935e-05
