"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0001952","regulation of cell-matrix adhesion",113,0.525819467076867,1.43609903255685,0.00474542491941748,0.0334794456800169,0.0241502219629514,4574,"tags=47%, list=24%, signal=36%","Vegfa/Utrn/Myh9/Serpine1/Thbs1/Sema3e/Nf1/Cdk6/Ddr1/Bcl2/Vcl/Slk/Lrp1/Iqgap1/Jup/Dag1/Pik3r1/Bcl6/Abl1/Epb41l5/Mmp14/Coro1c/Src/Rasa1/Mink1/Tsc1/Ptprj/Ldb1/Smad3/Emp2/Adam15/Plekha2/Jag1/Col16a1/Clasp1/Cdh13/Clasp2/Rin2/Dicer1/Ptk2/Phldb2/Peak1/Muc4/Dlc1/Efna5/Epha1/Dusp3/Dmd/Ptpra/Rcc2/Ppm1f/Ptpn11/Ptk2b"
"GO:0045667","regulation of osteoblast differentiation",139,0.505200918347507,1.40058855493244,0.00475867262758314,0.0335335970407439,0.0241892837620521,2907,"tags=35%, list=15%, signal=29%","Vegfa/Lmna/Il6st/Crim1/Hdac7/Smad5/Yap1/Twsg1/Bmpr1a/Ski/Cdk6/Fndc3b/Trpm4/Noct/Runx2/Trp63/Notch1/Bmpr2/Ipo7/Lrp5/Ahr/Limd1/Hdac4/Acvr2a/Nbr1/Gli3/Sox9/Wnt7b/Hdac5/Bmpr1b/Smad3/Bmp7/Tcirg1/Fgfr1/Igfbp5/Cebpa/Jag1/Fzd1/Rest/Ptch1/Tent5a/Cd276/Tmem64/Tob1/Zhx3/Acvr1/Npnt/Wwtr1"
"GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",94,0.531199906863585,1.42386267216159,0.00478290870122171,0.0336649644022833,0.0242840449170062,3313,"tags=36%, list=18%, signal=30%","Hes1/Jak2/Thbs1/Crebbp/Twsg1/Tgfbr3/Bmpr1a/Furin/Numa1/Tgfb2/Notch1/Ep300/Bmpr2/Rbpj/Acvr2a/Tgfbr1/Neo1/Sulf1/Notch2/Gpc3/Smad2/Bmp7/Rnf111/Tgfbr2/Glce/Cited2/Ube2o/Acvr1b/Acvr1/Npnt/Hipk2/Flcn/Lgals9/Sh2b1"
"GO:0072673","lamellipodium morphogenesis",16,0.750166767837899,1.59383137652962,0.00479187041495422,0.0336794722468776,0.0242945100743599,1497,"tags=50%, list=8%, signal=46%","Rreb1/Myo9b/Coro1c/Src/Abi1/Cd44/Kank1/Pdpn"
"GO:0070507","regulation of microtubule cytoskeleton organization",158,0.493782798376742,1.38347801327024,0.0047961627975364,0.0336794722468776,0.0242945100743599,4572,"tags=43%, list=24%, signal=33%","Agrn/Hspa1b/Dync1h1/Met/Nme7/Prkaa2/Mapk8/Camsap2/Clip1/Spef1/Ccdc88c/Numa1/Chmp1b/Taok1/Ttbk2/Atxn7/Mark2/Tppp/Pkd1/Abl1/Mecp2/Hspa1a/Camsap1/Gsk3a/Mid1/Arhgef2/Specc1l/Tbcd/Dyrk1a/Slain2/Eml3/Mapre1/Cyld/Arhgef7/Clasp1/Cltc/Chmp4c/Bicd1/Trpv4/Togaram1/Clasp2/Cdk5rap2/Kif21a/Pak1/Gnai1/Hsph1/Phldb2/Prkaa1/Bicd2/Map9/Cav1/Map6/Efna5/Mapre2/Dctn1/Apc/Vps4b/Ska2/Gda/Senp6/Akap9/Hnrnpu/Git1/Fes/Hdgfl3/Rnf4/Prune1/Cdk5r1"
"GO:0043954","cellular component maintenance",88,0.54196259839897,1.44824329515999,0.00480365884743091,0.0336927959718406,0.0243041210732488,4365,"tags=43%, list=23%, signal=33%","Homer1/F2rl1/Abl2/Insr/Neat1/Igf1r/Itga3/Pkp1/Dlg1/Zmynd8/Erc1/Tanc1/F2r/Pclo/Cttn/L1cam/Plekha7/Adgrl3/Sort1/Nedd9/Itgb1/Grn/Ctbp2/Afdn/Elmod3/Tjp1/Sema3a/Nrxn1/Shank1/Mtss1/Abhd17b/Ophn1/Inava/Shroom2/Lnpk/Pkp2/Kifc3/Rab3a"
"GO:0043401","steroid hormone receptor signaling pathway",109,0.521759470566973,1.41925703801612,0.0048545525638759,0.034010124946921,0.0245330246595481,4236,"tags=47%, list=23%, signal=36%","Errfi1/Cnot1/Sirt1/Jak2/Ddx17/Ncor2/Cnot3/Kmt2d/Trp63/Ep300/Per1/Ncoa2/Ubr5/Ar/Nr3c2/Safb2/Strn3/Foxa1/Zbtb7a/Kdm3a/Lbh/Src/Abhd2/Arid1a/Cry2/Zmiz1/Med1/Lats1/Ncoa3/Nedd4/Rxra/Trip4/Pias2/Smarca4/Cnot2/Foxp1/Safb/Trerf1/Clock/Klf9/Pak1/Cyp7b1/Ncoa1/Ube3a/Kdm4c/Nr3c1/Isl1/Zdhhc7/Ufsp2/Calcoco1/Ddx5"
"GO:0071514","genomic imprinting",28,0.67513565002855,1.55131752625473,0.00489234076947309,0.0342096282817313,0.0246769353402704,2306,"tags=36%, list=12%, signal=31%","Tsix/Kcnq1ot1/Pik3ca/Dnmt3a/Xist/Mecp2/Airn/Gsk3a/Mta2/Arid4a"
"GO:0009101","glycoprotein biosynthetic process",275,0.464253503814071,1.33579787034222,0.00490008301409977,0.0342096282817313,0.0246769353402704,5027,"tags=43%, list=27%, signal=32%","Tcf7l2/Gfpt1/B3galt2/Insr/Ago2/Gxylt1/Bcl2/Fam20b/Galnt7/Man2a2/Tet2/Ep300/Bmpr2/Il33/Npc1/Slc10a7/Mgat4a/Mgat3/Ndst1/Uggt1/St6galnac2/Ggta1/Oga/B4galt1/Arfgef1/Abca7/Slc35d1/Eogt/Tet3/Gxylt2/Man1b1/Stt3a/Hs6st1/Cog3/Trip11/Chpf2/Ncstn/Alg10b/Tmem260/Bmpr1b/Galnt18/Vangl2/Phlda1/Gcnt1/Soat1/Dpagt1/Galnt2/Ogt/Hs3st3b1/Pomk/Glce/Chp1/B3glct/Poglut3/Tmtc3/Trak2/Extl3/B4galt3/Golga2/Man2a1/Golph3/Cog7/Abca2/Edem3/Man1a2/Alg6/B3galnt2/Large2/Fut8/Galnt3/Psen1/Fktn/Dhdds/C1galt1/Nus1/Rxylt1/Hs2st1/Plod3/Gorasp1/Dpy19l1/Rpn1/Tet1/Ext1/Dpy19l3/Fkrp/Ndst2/Tmtc2/B3gat2/Stt3b/Tnip1/Cant1/Galnt10/Hbegf/Galnt4/Mlec/Ctnnb1/Pofut1/Rft1/Alg12/Xxylt1/Galnt11/St3gal2/Slc2a10/Magt1/Mgat5/Fut11/Galnt1/Alg11/Slc35c1/St6gal1/Csgalnact2/Pomt1/Man1a/Gmppa/Chsy1/Galnt5/St3gal5/Hs6st2/Pomgnt1"
"GO:0036293","response to decreased oxygen levels",309,0.456453770267171,1.31482948584336,0.00490008301409977,0.0342096282817313,0.0246769353402704,3796,"tags=33%, list=20%, signal=27%","Epas1/Hk2/Ptprd/Vegfa/Lmna/Sirt1/Cat/mt-Nd4/Nf1/Mapk8/Stat3/Edn1/Bcl2/Itpr1/mt-Nd5/Tgfb2/Egr1/Ece1/Dnmt3a/Notch1/Ep300/Cbl/Limd1/Atm/Hyou1/Dnm1l/Itpr2/Rora/Kdm6a/Ireb2/mt-Co2/Tm9sf4/Acvr2a/mt-Nd1/Eef2k/Nfatc3/Mecp2/Cpeb2/Plat/Prkce/Mmp14/Camk2g/Src/Nr4a2/Tfrc/Adam17/Tsc1/Atf2/Raf1/Smad3/Ndrg1/Rock2/Vasn/Mief1/Ptgs2/Adam15/mt-Co1/Cpt1a/Ogt/Cpeb4/Fosl2/Ercc3/Pld2/Cited2/Slc8a1/Foxo3/Trpv4/Rest/P4hb/Usp19/Ppard/Pdk1/Slc9a1/Capn2/Scap/Adsl/Lonp1/Epha4/Hif1a/Itga2/mt-Cytb/Rptor/Ercc2/Pak1/Vldlr/Adrb2/Mdm2/Mlst8/Casp3/Arnt/Plekhn1/Rgcc/Prkaa1/Vegfd/Ciao3/Npepps/Cav1/Atf4/Suv39h1/Mtor/Gata6"
