,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Broad_cluster,Cluster,revised_cluster
238,Lmod2,0,8.275331986,0.381,0.002,0,23,Lmod2,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
239,1500002F19Rik,0,7.688751207,0.354,0.003,0,23,1500002F19Rik,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
240,Pglyrp14,0,7.104242024,0.983,0.119,0,23,Pglyrp1,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
241,Bpifb9a,0,14.50583945,0.999,0.003,0,24,Bpifb9a,Epithelial,Glandular,Glandular epithelial
242,Bpifb9b,0,14.04803198,0.997,0.004,0,24,Bpifb9b,Epithelial,Glandular,Glandular epithelial
243,Bpifb5,0,13.90351724,0.972,0.001,0,24,Bpifb5,Epithelial,Glandular,Glandular epithelial
244,Odam,0,13.06636556,0.888,0.001,0,24,Odam,Epithelial,Glandular,Glandular epithelial
245,2310003L06Rik,0,12.93041522,0.991,0.002,0,24,2310003L06Rik,Epithelial,Glandular,Glandular epithelial
246,Cabs1,0,11.94977396,0.969,0.001,0,24,Cabs1,Epithelial,Glandular,Glandular epithelial
247,Sval2,0,11.87524882,0.417,0,0,24,Sval2,Epithelial,Glandular,Glandular epithelial
248,Esp8,0,11.26854461,0.295,0,0,24,Esp8,Epithelial,Glandular,Glandular epithelial
249,Smr3a,0,10.99576101,0.666,0,0,24,Smr3a,Epithelial,Glandular,Glandular epithelial
250,Pip,0,7.678974001,0.487,0.006,0,24,Pip,Epithelial,Glandular,Glandular epithelial
251,Hmx3,0,9.562445287,0.437,0.001,0,25,Hmx3,Epithelial,Nasal Tuft,Nasal Tuft
252,Il25,0,9.4372077,0.543,0.002,0,25,Il25,Epithelial,Nasal Tuft,Nasal Tuft
253,Trpm5,0,9.385743035,0.711,0.002,0,25,Trpm5,Epithelial,Nasal Tuft,Nasal Tuft
254,Sh2d7,0,9.255213371,0.613,0.002,0,25,Sh2d7,Epithelial,Nasal Tuft,Nasal Tuft
255,Avil,0,9.236196756,0.71,0.003,0,25,Avil,Epithelial,Nasal Tuft,Nasal Tuft
256,Ly6g6f,0,9.217034378,0.504,0.001,0,25,Ly6g6f,Epithelial,Nasal Tuft,Nasal Tuft
257,Chat,0,9.106918038,0.316,0.001,0,25,Chat,Epithelial,Nasal Tuft,Nasal Tuft
258,Gnat3,0,8.938288406,0.345,0.001,0,25,Gnat3,Epithelial,Nasal Tuft,Nasal Tuft
259,Rgs131,0,8.919966786,0.736,0.003,0,25,Rgs13,Epithelial,Nasal Tuft,Nasal Tuft
260,Hmx2,0,8.916617226,0.352,0.001,0,25,Hmx2,Epithelial,Nasal Tuft,Nasal Tuft
261,Car1,0,11.75863493,0.256,0.001,0,26,Car1,Granulocyte,Progenitor,Neutrophil Progenitor
262,Ctsg,0,8.728657403,0.536,0.005,0,26,Ctsg,Granulocyte,Progenitor,Neutrophil Progenitor
263,Mpo,0,8.620675261,0.538,0.003,0,26,Mpo,Granulocyte,Progenitor,Neutrophil Progenitor
264,Prtn3,0,7.797212665,0.596,0.018,0,26,Prtn3,Granulocyte,Progenitor,Neutrophil Progenitor
265,Elane,0,7.682866323,0.487,0.005,0,26,Elane,Granulocyte,Progenitor,Neutrophil Progenitor
266,Ms4a3,0,7.402921808,0.448,0.005,0,26,Ms4a3,Granulocyte,Progenitor,Neutrophil Progenitor
267,Prss57,0,6.477600701,0.314,0.005,0,26,Prss57,Granulocyte,Progenitor,Neutrophil Progenitor
268,Bex6,0,5.608023774,0.284,0.006,0,26,Bex6,Granulocyte,Progenitor,Neutrophil Progenitor
269,Cdc6,0,5.476608335,0.321,0.007,0,26,Cdc6,Granulocyte,Progenitor,Neutrophil Progenitor
270,Hist1h1a,0,5.223617306,0.536,0.017,0,26,Hist1h1a,Granulocyte,Progenitor,Neutrophil Progenitor
