"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Umodl1",0,2.13090550859154,0.968,0.233,0,"0","Umodl1"
"Spef2",0,2.31609924714055,0.971,0.238,0,"0","Spef2"
"Clgn",0,2.12555909447784,0.982,0.254,0,"0","Clgn"
"Dcdc2a",0,2.7658566248329,0.985,0.259,0,"0","Dcdc2a"
"Ctxn3",0,1.90902501400519,0.964,0.238,0,"0","Ctxn3"
"Jakmip1",0,2.14739688625862,0.968,0.245,0,"0","Jakmip1"
"Cnga2",0,2.132885857165,0.95,0.227,0,"0","Cnga2"
"Acbd7",0,2.14035529821757,0.959,0.237,0,"0","Acbd7"
"Cntn4",0,2.1154492173692,0.971,0.25,0,"0","Cntn4"
"Syt1",0,2.01647400697619,0.968,0.249,0,"0","Syt1"
"1700012B09Rik",0,2.13735828564832,0.98,0.263,0,"0","1700012B09Rik"
"Nrn1l",0,1.92397958872771,0.94,0.227,0,"0","Nrn1l"
"Tmem74bos",0,2.03673720383201,0.938,0.227,0,"0","Tmem74bos"
"Tom1",0,2.26887132510078,0.954,0.244,0,"0","Tom1"
"Adcy3",0,1.90119450266032,0.949,0.242,0,"0","Adcy3"
"Flrt1",0,1.9992802114244,0.976,0.27,0,"0","Flrt1"
"Pcolce2",0,2.06413185418767,0.953,0.248,0,"0","Pcolce2"
"Gramd1c",0,2.31346994749176,0.916,0.214,0,"0","Gramd1c"
"Ric8b",0,1.81553966477187,0.948,0.246,0,"0","Ric8b"
"Efna3",0,2.5680232141354,0.896,0.196,0,"0","Efna3"
"Plekhb1",0,1.95726450993721,0.99,0.29,0,"0","Plekhb1"
"Scn9a",0,2.19200110015625,0.992,0.301,0,"0","Scn9a"
"Elavl3",0,1.77914218486786,0.967,0.276,0,"0","Elavl3"
"Tspyl4",0,2.08542027543359,0.944,0.253,0,"0","Tspyl4"
"Acsl6",0,2.23923134275404,0.902,0.212,0,"0","Acsl6"
"Hist2h2be",0,2.30333158726832,0.908,0.223,0,"0","Hist2h2be"
"Cfap69",0,2.03432856199514,0.922,0.238,0,"0","Cfap69"
"Aplp1",0,1.88944397715599,0.993,0.31,0,"0","Aplp1"
"Uchl1",0,1.7628031534972,0.965,0.284,0,"0","Uchl1"
"Lrguk",0,2.4720103478879,0.872,0.191,0,"0","Lrguk"
"Fam81b",0,2.24630369450184,0.886,0.205,0,"0","Fam81b"
"Cartpt",0,2.49868288307372,0.863,0.183,0,"0","Cartpt"
"Ebf2",0,1.66285977116344,0.949,0.272,0,"0","Ebf2"
"Tspan7",0,1.97688373026934,0.927,0.253,0,"0","Tspan7"
"Manea",0,2.18564888517944,0.901,0.229,0,"0","Manea"
"Ak1",0,1.91928675290538,0.914,0.243,0,"0","Ak1"
"Oscp1",0,2.1539318939097,0.893,0.223,0,"0","Oscp1"
"Pde6d",0,2.15414151330692,0.953,0.283,0,"0","Pde6d"
"Lhx2",0,1.56779260971016,0.911,0.247,0,"0","Lhx2"
"Klhl5",0,2.11482037327765,0.928,0.268,0,"0","Klhl5"
"Ttll6",0,2.25689709823787,0.862,0.203,0,"0","Ttll6"
"Fgf12",0,1.6833558350903,0.891,0.232,0,"0","Fgf12"
"Kcnc4",0,2.01209415306119,0.86,0.204,0,"0","Kcnc4"
"Trnp1",0,1.93872522119767,0.902,0.246,0,"0","Trnp1"
"Rab6b",0,2.00864929994859,0.928,0.272,0,"0","Rab6b"
"Igsf8",0,1.81287030595796,0.963,0.308,0,"0","Igsf8"
"Faim2",0,1.8917041429935,0.875,0.22,0,"0","Faim2"
"Gm11992",0,2.46946629942651,0.829,0.175,0,"0","Gm11992"
"Stmn3",0,1.74959612134035,0.899,0.246,0,"0","Stmn3"
"Rtp1",0,2.26073724320234,0.853,0.2,0,"0","Rtp1"
"Rufy3",0,1.84743966244277,0.945,0.293,0,"0","Rufy3"
"Nrxn1",0,1.91760655198193,0.95,0.298,0,"0","Nrxn1"
"Impdh1",0,2.09369040423809,0.888,0.237,0,"0","Impdh1"
"Tesc",0,1.69593083417721,0.934,0.284,0,"0","Tesc"
"Pde4a",0,1.85343676252101,0.887,0.237,0,"0","Pde4a"
"Lrriq1",0,2.00048899817606,0.875,0.225,0,"0","Lrriq1"
"Ebf3",0,1.81348659603554,0.901,0.253,0,"0","Ebf3"
"Uncx",0,1.86720207015679,0.876,0.229,0,"0","Uncx"
"Them6",0,2.12461365280456,0.865,0.219,0,"0","Them6"
"Syt11",0,1.75698195567765,0.917,0.272,0,"0","Syt11"
"Fam92b",0,2.09519038275926,0.857,0.212,0,"0","Fam92b"
"Cnga4",0,2.23419047779013,0.83,0.187,0,"0","Cnga4"
"Spock1",0,2.14935366767593,0.856,0.213,0,"0","Spock1"
"A730046J19Rik",0,2.5383408375814,0.796,0.158,0,"0","A730046J19Rik"
"Stom",0,2.03396661748376,0.997,0.361,0,"0","Stom"
"Mapk8ip2",0,2.02584281226542,0.851,0.217,0,"0","Mapk8ip2"
"Rtn1",0,2.02402468767774,0.986,0.353,0,"0","Rtn1"
"Fam131c",0,2.09357658459696,0.828,0.196,0,"0","Fam131c"
"Snap25",0,1.76361474142844,0.853,0.223,0,"0","Snap25"
"Ttll7",0,1.71903850408606,0.993,0.365,0,"0","Ttll7"
"Eef1a2",0,2.00345684162018,0.831,0.203,0,"0","Eef1a2"
"Ppp1r14c",0,2.25996444049939,0.82,0.194,0,"0","Ppp1r14c"
"Sgpl1",0,2.16219681790926,0.937,0.313,0,"0","Sgpl1"
"Prxl2b",0,2.05323104842891,0.996,0.373,0,"0","Prxl2b"
"Cacnb3",0,2.29332934894353,0.813,0.192,0,"0","Cacnb3"
"Rtp2",0,2.07110938967589,0.822,0.201,0,"0","Rtp2"
"Cngb1",0,2.12400167053855,0.812,0.192,0,"0","Cngb1"
"Ank2",0,1.77115467761062,0.878,0.259,0,"0","Ank2"
"Serpine2",0,1.79654915043775,0.99,0.372,0,"0","Serpine2"
"Mlf1",0,1.82446946026926,0.852,0.234,0,"0","Mlf1"
"Ephx4",0,2.53247472716689,0.784,0.166,0,"0","Ephx4"
"Tubb3",0,1.76769883861821,0.839,0.221,0,"0","Tubb3"
"Slc1a2",0,2.30650214475411,0.791,0.174,0,"0","Slc1a2"
"Prnp",0,1.90368608745066,0.949,0.334,0,"0","Prnp"
"Myt1l",0,1.74870293853182,0.841,0.226,0,"0","Myt1l"
"Pkia",0,2.3637218007078,0.805,0.191,0,"0","Pkia"
"Olfm1",0,1.79214991897113,0.995,0.383,0,"0","Olfm1"
"Rap1gds1",0,1.98538708702989,0.911,0.3,0,"0","Rap1gds1"
"Homer2",0,1.79157803561446,0.88,0.269,0,"0","Homer2"
"Carns1",0,2.00978980801745,0.812,0.201,0,"0","Carns1"
"Ip6k2",0,1.9916083416798,0.871,0.262,0,"0","Ip6k2"
"Cfap36",0,1.76934446500412,0.954,0.347,0,"0","Cfap36"
"Clstn2",0,2.13260524736183,0.795,0.189,0,"0","Clstn2"
"Sult1d1",0,2.19294116405042,0.993,0.387,0,"0","Sult1d1"
"Ncam1",0,1.62088698992898,0.992,0.389,0,"0","Ncam1"
"Tarsl2",0,2.25079699377292,0.792,0.19,0,"0","Tarsl2"
"Eml2",0,1.89120750517163,0.848,0.249,0,"0","Eml2"
"Rab3a",0,1.82534447064463,0.841,0.242,0,"0","Rab3a"
"Pex5l",0,2.14709191001908,0.786,0.188,0,"0","Pex5l"
"B830017H08Rik",0,3.21520409638123,0.706,0.109,0,"0","B830017H08Rik"
"Id4",0,1.64294731695658,0.871,0.279,0,"0","Id4"
"Stmn2",0,1.16135671009197,0.821,0.23,0,"0","Stmn2"
"Gfy",0,1.83677425652624,1,0.409,0,"0","Gfy"
"Chga",0,2.05721504949538,1,0.41,0,"0","Chga"
"Ppp1r1a",0,2.14342973440212,0.787,0.197,0,"0","Ppp1r1a"
"Celf4",0,2.41597710149992,0.758,0.169,0,"0","Celf4"
"Arl3",0,1.88579749358576,0.958,0.37,0,"0","Arl3"
"Traf3ip1",0,1.96535004658751,0.815,0.229,0,"0","Traf3ip1"
"Fam217a",0,2.16263171830611,0.762,0.178,0,"0","Fam217a"
"Ptp4a3",0,1.68786817414384,0.901,0.318,0,"0","Ptp4a3"
"Abhd16a",0,1.83233901899138,0.892,0.309,0,"0","Abhd16a"
"Gadl1",0,2.24448910150173,0.749,0.167,0,"0","Gadl1"
"Ift43",0,1.6954407379142,0.894,0.313,0,"0","Ift43"
"Fam13a",0,2.13930141365137,0.782,0.202,0,"0","Fam13a"
"Ift74",0,1.83936154851905,0.842,0.263,0,"0","Ift74"
"Nsg1",0,1.83910542204577,0.999,0.42,0,"0","Nsg1"
"Faim",0,1.75514777752019,0.88,0.301,0,"0","Faim"
"Rd3",0,1.9954795744358,0.774,0.196,0,"0","Rd3"
"Pkib",0,1.86401128134709,0.825,0.249,0,"0","Pkib"
"Ano2",0,1.92996165108051,0.761,0.186,0,"0","Ano2"
"Gnao1",0,1.87533982517094,0.817,0.242,0,"0","Gnao1"
"Mycbp",0,1.83592760637032,0.851,0.277,0,"0","Mycbp"
"Gpm6a",0,1.7412685794099,0.843,0.269,0,"0","Gpm6a"
"Rsph9",0,1.90833678853776,0.791,0.218,0,"0","Rsph9"
"Rnf128",0,2.07157679033885,0.784,0.211,0,"0","Rnf128"
"Pygo1",0,1.93646352126805,0.784,0.214,0,"0","Pygo1"
"Ncapg2",0,1.76870851847026,0.813,0.243,0,"0","Ncapg2"
"BC049352",0,1.97167375980343,0.761,0.192,0,"0","BC049352"
"Elmod3",0,2.08473482339555,0.754,0.187,0,"0","Elmod3"
"Fmn2",0,2.17810492449679,0.747,0.181,0,"0","Fmn2"
"Plxna4",0,1.97457075046282,0.768,0.204,0,"0","Plxna4"
"Slc17a6",0,1.8126121724961,0.76,0.196,0,"0","Slc17a6"
"Spa17",0,1.88971822282823,0.778,0.214,0,"0","Spa17"
"Abca5",0,2.0412215037175,0.776,0.212,0,"0","Abca5"
"Zfp385b",0,2.00107776198182,0.753,0.19,0,"0","Zfp385b"
"Endod1",0,1.71597302570283,0.856,0.293,0,"0","Endod1"
"Fstl5",0,1.97422816648039,1,0.438,0,"0","Fstl5"
"Ormdl3",0,1.69748914291611,0.894,0.332,0,"0","Ormdl3"
"Pde1c",0,1.37720086850098,0.828,0.266,0,"0","Pde1c"
"1110017D15Rik",0,1.98688149078094,0.742,0.181,0,"0","1110017D15Rik"
"Gnal",0,2.21235151481767,1,0.439,0,"0","Gnal"
"Kifap3",0,1.69608539309637,0.848,0.294,0,"0","Kifap3"
"Enkur",0,1.86716252221126,0.748,0.194,0,"0","Enkur"
"Pifo",0,2.04185968814196,0.73,0.176,0,"0","Pifo"
"Ttc21a",0,2.06343965330155,0.729,0.178,0,"0","Ttc21a"
"Ahi1",0,1.58685753840966,0.846,0.295,0,"0","Ahi1"
"Atf5",0,1.82339655291487,1,0.45,0,"0","Atf5"
"Arhgdig",0,1.36705208484265,0.763,0.213,0,"0","Arhgdig"
"Agtpbp1",0,1.80198890501723,0.799,0.25,0,"0","Agtpbp1"
"Mgst3",0,1.54617190615695,0.972,0.425,0,"0","Mgst3"
"Stmn4",0,2.14421303500775,0.728,0.183,0,"0","Stmn4"
"Cep126",0,1.93849491211036,0.747,0.203,0,"0","Cep126"
"Hjurp",0,1.88188021884725,0.823,0.279,0,"0","Hjurp"
"Spef1",0,2.06226556199648,0.722,0.18,0,"0","Spef1"
"Dnajb14",0,1.68273001870605,0.898,0.356,0,"0","Dnajb14"
"Omp",0,1.9656585418291,1,0.458,0,"0","Omp"
"Rab3b",0,2.51857341635106,0.675,0.135,0,"0","Rab3b"
"Fetub",0,1.27757403654179,0.843,0.303,0,"0","Fetub"
"Nat14",0,1.92674339686224,0.725,0.188,0,"0","Nat14"
"AC109619.1",0,1.99680461204946,0.718,0.181,0,"0","AC109619.1"
"Nxph3",0,2.10381236148823,0.705,0.17,0,"0","Nxph3"
"Cystm1",0,1.54626010934812,0.986,0.452,0,"0","Cystm1"
"Rundc3a",0,1.97486705707407,0.718,0.185,0,"0","Rundc3a"
"Cfap20",0,1.6586160366158,0.863,0.331,0,"0","Cfap20"
"Stoml3",0,2.05854813825556,1,0.472,0,"0","Stoml3"
"Ttll3",0,1.96203461126019,0.711,0.183,0,"0","Ttll3"
"Camk2d",0,1.41802498635022,0.914,0.387,0,"0","Camk2d"
"Scg5",0,1.91810453256276,0.717,0.19,0,"0","Scg5"
"Kif1a",0,1.73777948785009,0.73,0.205,0,"0","Kif1a"
"Map1a",0,2.00366648877422,0.715,0.191,0,"0","Map1a"
"Erich3",0,2.21486121790513,0.679,0.155,0,"0","Erich3"
"Rp2",0,1.82419761384593,0.77,0.246,0,"0","Rp2"
"Ivns1abp",0,1.61546476329108,0.933,0.41,0,"0","Ivns1abp"
"Strbp",0,1.52208117884707,0.943,0.42,0,"0","Strbp"
"Cacna2d1",0,2.06607173677091,0.701,0.179,0,"0","Cacna2d1"
"Rfx3",0,2.12515382450255,0.701,0.179,0,"0","Rfx3"
"Sgtb",0,2.04578427578717,0.693,0.171,0,"0","Sgtb"
"Rufy2",0,1.82339918440663,0.758,0.237,0,"0","Rufy2"
"Stxbp5l",0,2.23808376939636,0.673,0.152,0,"0","Stxbp5l"
"Selenot",0,1.77541028383589,0.952,0.431,0,"0","Selenot"
"Rnf182",0,1.74561428358006,0.717,0.196,0,"0","Rnf182"
"Tspan3",0,1.52770592246953,0.917,0.397,0,"0","Tspan3"
"Ank3",0,1.47212411348018,0.839,0.319,0,"0","Ank3"
"Cep290",0,1.65543221067402,0.805,0.285,0,"0","Cep290"
"Cdkl4",0,2.11421306353034,0.678,0.159,0,"0","Cdkl4"
"Rabgap1l",0,1.63656030784836,0.828,0.309,0,"0","Rabgap1l"
"Lrrn1",0,2.13744603108491,0.676,0.158,0,"0","Lrrn1"
"Nxnl2",0,2.22357165399423,0.671,0.153,0,"0","Nxnl2"
"Cplx2",0,1.69226944517484,0.726,0.208,0,"0","Cplx2"
"Gm13648",0,1.70502196682837,0.721,0.204,0,"0","Gm13648"
"Myo6",0,1.93482485173812,0.974,0.458,0,"0","Myo6"
"Dzip1l",0,1.91963193411762,0.702,0.186,0,"0","Dzip1l"
"Rsph1",0,1.84968404212769,0.697,0.181,0,"0","Rsph1"
"Cmip",0,1.90850842991016,0.979,0.464,0,"0","Cmip"
"1700016K19Rik",0,2.05603952529441,0.674,0.16,0,"0","1700016K19Rik"
"Ccdc39",0,1.8807219446869,0.696,0.183,0,"0","Ccdc39"
"BC051077",0,2.22578854580875,0.658,0.146,0,"0","BC051077"
"Osbpl1a",0,1.78253260532785,0.758,0.246,0,"0","Osbpl1a"
"Cfap126",0,2.15504185297265,0.653,0.142,0,"0","Cfap126"
"Kcnmb2",0,2.1478936702896,0.668,0.157,0,"0","Kcnmb2"
"Btbd8",0,2.17953929712621,0.681,0.17,0,"0","Btbd8"
"Efcab10",0,1.66567173073666,0.704,0.193,0,"0","Efcab10"
"Kcna2",0,1.9407084603372,0.689,0.179,0,"0","Kcna2"
"Ssx2ip",0,1.44604363438123,0.802,0.292,0,"0","Ssx2ip"
"Gng13",0,1.97108263168452,1,0.49,0,"0","Gng13"
"Gdap1",0,2.03358541816136,0.678,0.169,0,"0","Gdap1"
"Ccdc157",0,2.11188340016677,0.673,0.164,0,"0","Ccdc157"
"Tmem63b",0,1.71988464844794,0.774,0.265,0,"0","Tmem63b"
"Nwd1",0,2.42525621113034,0.646,0.138,0,"0","Nwd1"
"Riiad1",0,2.01020724401967,0.669,0.162,0,"0","Riiad1"
"Ppp2r2c",0,2.27684626672337,0.646,0.139,0,"0","Ppp2r2c"
"Kif1bp",0,1.90925947711155,0.727,0.22,0,"0","Kif1bp"
"Srcin1",0,1.93067529711901,0.685,0.182,0,"0","Srcin1"
"Cbx4",0,1.66711023283268,0.79,0.287,0,"0","Cbx4"
"Rab28",0,1.71711923229941,0.768,0.266,0,"0","Rab28"
"Trarg1",0,2.39980626542453,0.63,0.128,0,"0","Trarg1"
"Prxl2a",0,1.34167948141827,0.821,0.319,0,"0","Prxl2a"
"Iqcg",0,2.13026005788075,0.654,0.153,0,"0","Iqcg"
"Hspa4l",0,1.55418043840622,0.789,0.289,0,"0","Hspa4l"
"Ppa1",0,1.4089925850924,0.888,0.388,0,"0","Ppa1"
"Cfap298",0,1.68584189381468,0.754,0.254,0,"0","Cfap298"
"Ift81",0,1.75662903475094,0.724,0.225,0,"0","Ift81"
"Pak3",0,1.87192440662363,0.678,0.18,0,"0","Pak3"
"Wdsub1",0,1.66981330076692,0.736,0.239,0,"0","Wdsub1"
"Exoc6b",0,1.77568236385849,0.746,0.249,0,"0","Exoc6b"
"Cebpg",0,1.29627815419439,0.872,0.375,0,"0","Cebpg"
"Pth2",0,2.39810881201013,0.628,0.131,0,"0","Pth2"
"Clstn1",0,1.34247513353077,0.902,0.406,0,"0","Clstn1"
"Slc12a2",0,1.18038520212441,0.883,0.387,0,"0","Slc12a2"
"Abcd2",0,2.28192110979749,0.645,0.152,0,"0","Abcd2"
"Unc13c",0,2.61778327455367,0.603,0.111,0,"0","Unc13c"
"Ccdc34",0,1.48179656132304,0.803,0.312,0,"0","Ccdc34"
"Ccp110",0,1.90320141720762,0.679,0.188,0,"0","Ccp110"
"Tmem178b",0,2.2005689788659,0.636,0.145,0,"0","Tmem178b"
"Aig1",0,1.4271332162963,0.805,0.316,0,"0","Aig1"
"A830018L16Rik",0,2.21303853684915,0.63,0.141,0,"0","A830018L16Rik"
"Glb1l2",0,2.12581976546655,0.64,0.151,0,"0","Glb1l2"
"Cpe",0,1.09186267339965,0.775,0.287,0,"0","Cpe"
"Kif3a",0,1.6633109132789,0.726,0.238,0,"0","Kif3a"
"Kcnk10",0,2.58022199357848,0.599,0.111,0,"0","Kcnk10"
"Robo2",0,2.38066422755235,0.622,0.136,0,"0","Robo2"
"Med21",0,1.60010213986062,0.806,0.321,0,"0","Med21"
"Ebf1",0,0.904274762125601,0.984,0.499,0,"0","Ebf1"
"Srgap1",0,1.80042392387508,0.68,0.197,0,"0","Srgap1"
"Dynlrb2",0,1.71897063982054,0.647,0.164,0,"0","Dynlrb2"
"Mcf2l",0,1.75551234396217,0.683,0.201,0,"0","Mcf2l"
"Auts2",0,1.30055963863362,0.864,0.382,0,"0","Auts2"
"Trim66",0,1.93781250996923,0.644,0.162,0,"0","Trim66"
"Lrrc10b",0,2.30834653794837,0.615,0.134,0,"0","Lrrc10b"
"Scrn1",0,2.08140922065237,0.635,0.155,0,"0","Scrn1"
"Ttc9",0,2.15357157730985,0.634,0.154,0,"0","Ttc9"
"Slc24a2",0,1.45055101392329,0.683,0.204,0,"0","Slc24a2"
"Mapk10",0,1.80045937331861,0.659,0.18,0,"0","Mapk10"
"Stx2",0,1.88438950108872,0.675,0.196,0,"0","Stx2"
"Ptprs",0,1.49217640933534,0.761,0.282,0,"0","Ptprs"
"Appl1",0,1.51861795433922,0.81,0.332,0,"0","Appl1"
"Usp21",0,2.33813253490903,0.622,0.144,0,"0","Usp21"
"Iqub",0,2.10258429965831,0.625,0.147,0,"0","Iqub"
"Meig1",0,2.06606359190512,0.619,0.142,0,"0","Meig1"
"Slc4a4",0,1.67068542814228,0.684,0.208,0,"0","Slc4a4"
"Hmgn3",0,1.30660370639861,0.945,0.47,0,"0","Hmgn3"
"Odf2l",0,1.94380001046928,0.666,0.192,0,"0","Odf2l"
"Fam171b",0,2.11828030716425,0.623,0.149,0,"0","Fam171b"
"Lingo1",0,2.15014174963615,0.616,0.142,0,"0","Lingo1"
"Kcnb1",0,1.91269039026233,0.648,0.175,0,"0","Kcnb1"
"A430035B10Rik",0,2.10161451512336,0.629,0.156,0,"0","A430035B10Rik"
"Syp",0,1.92256100266189,0.636,0.163,0,"0","Syp"
"Dcx",0,2.01359128443931,0.617,0.144,0,"0","Dcx"
"Pfn2",0,1.85037555238321,0.677,0.205,0,"0","Pfn2"
"Kif5a",0,1.93559652075056,0.636,0.164,0,"0","Kif5a"
"Htatip2",0,1.99139032974928,0.669,0.198,0,"0","Htatip2"
"Rab6a",0,1.34873298686018,0.873,0.402,0,"0","Rab6a"
"Bcl7a",0,1.27782158009922,0.747,0.277,0,"0","Bcl7a"
"Tstd1",0,1.55725272680317,0.664,0.195,0,"0","Tstd1"
"1500011B03Rik",0,1.58913387074852,0.734,0.265,0,"0","1500011B03Rik"
"Efna5",0,2.58123106187099,0.592,0.123,0,"0","Efna5"
"Ccdc30",0,1.92785303179111,0.632,0.164,0,"0","Ccdc30"
"Tex52",0,2.422657740883,0.587,0.119,0,"0","Tex52"
"Zc2hc1a",0,1.80389938105863,0.686,0.219,0,"0","Zc2hc1a"
"Cend1",0,1.85831362161352,0.63,0.164,0,"0","Cend1"
"Cacna1d",0,1.99399928342803,0.638,0.173,0,"0","Cacna1d"
"Syt7",0,1.71888592734918,0.647,0.182,0,"0","Syt7"
"Kcnma1",0,1.55582027464164,0.695,0.23,0,"0","Kcnma1"
"Lrrc59",0,1.5295291190473,0.766,0.306,0,"0","Lrrc59"
"Drc1",0,2.2270347588443,0.588,0.128,0,"0","Drc1"
"Ldhb",0,1.1374749091929,0.968,0.508,0,"0","Ldhb"
"Prrc2b",0,1.3459617546966,0.934,0.475,0,"0","Prrc2b"
"Calb2",0,3.07547176519411,0.523,0.064,0,"0","Calb2"
"Arl6",0,1.92807356876355,0.634,0.175,0,"0","Arl6"
"Cdkl2",0,1.98307287581233,0.627,0.168,0,"0","Cdkl2"
"Bex2",0,1.67147948358103,0.651,0.193,0,"0","Bex2"
"Lman2l",0,1.63690565202321,0.688,0.23,0,"0","Lman2l"
"5330413P13Rik",0,2.27742631025377,0.586,0.128,0,"0","5330413P13Rik"
"Magi2",0,2.03025792673444,0.621,0.163,0,"0","Magi2"
"Lztfl1",0,1.42946422235977,0.76,0.303,0,"0","Lztfl1"
"Map3k19",0,2.39328616694799,0.575,0.118,0,"0","Map3k19"
"Sae1",0,1.58216737981372,0.733,0.276,0,"0","Sae1"
"Rbm15b",0,1.63105710663984,0.674,0.218,0,"0","Rbm15b"
"Lias",0,1.62247213365551,0.7,0.244,0,"0","Lias"
"Limch1",0,1.5818065407695,0.669,0.214,0,"0","Limch1"
"Glcci1",0,1.60622217333581,0.697,0.242,0,"0","Glcci1"
"Npdc1",0,1.64070869132965,0.704,0.25,0,"0","Npdc1"
"Rnf220",0,1.68693398053091,0.696,0.242,0,"0","Rnf220"
"Tmem107",0,1.74472560141644,0.643,0.19,0,"0","Tmem107"
"Add2",0,2.04009044741657,0.602,0.149,0,"0","Add2"
"Abhd17a",0,1.45918394967195,0.815,0.362,0,"0","Abhd17a"
"Elmod1",0,2.11926901683637,0.587,0.136,0,"0","Elmod1"
"Kras",0,1.26106419363921,0.877,0.427,0,"0","Kras"
"Gabbr2",0,2.20282049980925,0.579,0.129,0,"0","Gabbr2"
"Dusp8",0,1.85978450930965,0.629,0.18,0,"0","Dusp8"
"Uckl1os",0,2.25662079975867,0.571,0.123,0,"0","Uckl1os"
"Kat6a",0,1.3320725245452,0.824,0.376,0,"0","Kat6a"
"Cisd1",0,1.15498790945063,0.842,0.394,0,"0","Cisd1"
"Megf9",0,1.78513643051598,0.652,0.205,0,"0","Megf9"
"B230369F24Rik",0,1.9812280935804,0.6,0.153,0,"0","B230369F24Rik"
"Dynll2",0,1.21333287746013,0.922,0.477,0,"0","Dynll2"
"Tpd52l2",0,1.42940397065066,0.77,0.325,0,"0","Tpd52l2"
"Ccdc33",0,2.22319231031703,0.568,0.123,0,"0","Ccdc33"
"Snca",0,1.34758206638742,0.656,0.212,0,"0","Snca"
"Nme7",0,1.48060860933875,0.705,0.261,0,"0","Nme7"
"Dync2h1",0,1.72095157152391,0.641,0.198,0,"0","Dync2h1"
"2210016L21Rik",0,1.53790955875288,0.724,0.282,0,"0","2210016L21Rik"
"Adipor1",0,1.41130853481663,0.954,0.512,0,"0","Adipor1"
"Soga3",0,1.79651760999463,0.607,0.165,0,"0","Soga3"
"Psip1",0,1.15129902768859,0.967,0.527,0,"0","Psip1"
"Grsf1",0,1.58447457623329,0.699,0.259,0,"0","Grsf1"
"Khdrbs3",0,1.7620467017342,0.654,0.215,0,"0","Khdrbs3"
"Rpgrip1l",0,1.87448293522403,0.613,0.175,0,"0","Rpgrip1l"
"Sdc2",0,1.70066441470381,0.637,0.199,0,"0","Sdc2"
"Epha5",0,0.856549628963919,0.687,0.25,0,"0","Epha5"
"Lrba",0,1.66708218645338,0.666,0.23,0,"0","Lrba"
"Mapk8ip1",0,1.61688997739876,0.631,0.195,0,"0","Mapk8ip1"
"Cfap206",0,2.04083908597484,0.573,0.137,0,"0","Cfap206"
"Mgat4b",0,1.75431808347221,0.647,0.214,0,"0","Mgat4b"
"Cspp1",0,1.27095712546134,0.766,0.333,0,"0","Cspp1"
"Rasal2",0,1.54828499047106,0.658,0.226,0,"0","Rasal2"
"Arhgef28",0,1.7244060041087,0.618,0.187,0,"0","Arhgef28"
"Slc4a8",0,1.94090288184891,0.583,0.153,0,"0","Slc4a8"
"Klf7",0,1.16760325022898,0.762,0.333,0,"0","Klf7"
"Palm",0,1.73156177309557,0.622,0.193,0,"0","Palm"
"Chchd10",0,1.08323611486039,0.982,0.553,0,"0","Chchd10"
"Akap17b",0,1.93557375081916,0.59,0.161,0,"0","Akap17b"
"Retreg1",0,1.14703018514032,0.761,0.333,0,"0","Retreg1"
"Rfk",0,1.06405608788332,0.748,0.32,0,"0","Rfk"
"Actr1b",0,1.59050104054953,0.656,0.229,0,"0","Actr1b"
"Nudc",0,1.19854251583815,0.909,0.482,0,"0","Nudc"
"Sept3",0,1.68920179821471,0.608,0.181,0,"0","Sept3"
"Cby1",0,1.60986794960959,0.633,0.207,0,"0","Cby1"
"Arl13b",0,1.64561712848168,0.65,0.224,0,"0","Arl13b"
"Mapkap1",0,1.35851888532935,0.759,0.333,0,"0","Mapkap1"
"Ptdss2",0,1.81350824226853,0.602,0.176,0,"0","Ptdss2"
"Bcl11a",0,1.35783323501026,0.704,0.278,0,"0","Bcl11a"
"Cldn9",0,1.80873565235996,0.597,0.171,0,"0","Cldn9"
"Pclo",0,1.2959007135004,0.686,0.261,0,"0","Pclo"
"Kif1b",0,1.18926724686907,0.836,0.411,0,"0","Kif1b"
"Vamp2",0,1.39367203796624,0.713,0.288,0,"0","Vamp2"
"Ubxn2a",0,1.3073839353691,0.768,0.343,0,"0","Ubxn2a"
"Dctn1",0,1.42002835463541,0.717,0.293,0,"0","Dctn1"
"Tshz2",0,1.52100215415534,0.997,0.574,0,"0","Tshz2"
"Casc4",0,1.37302823547159,0.691,0.268,0,"0","Casc4"
"Dtx1",0,2.05769712424023,0.554,0.132,0,"0","Dtx1"
"Ncoa1",0,1.29931636550366,0.725,0.303,0,"0","Ncoa1"
"Ccdc170",0,2.36367048159786,0.53,0.109,0,"0","Ccdc170"
"Ift88",0,1.80190377319259,0.598,0.177,0,"0","Ift88"
"Pgam1",0,1.28788491615088,0.953,0.532,0,"0","Pgam1"
"Sytl2",0,2.30229654333787,0.535,0.117,0,"0","Sytl2"
"Ccdc40",0,2.20324305992268,0.539,0.121,0,"0","Ccdc40"
"Rarg",0,1.66605152908956,0.633,0.215,0,"0","Rarg"
"Ypel3",0,1.14968809218853,0.918,0.501,0,"0","Ypel3"
"Spock2",0,1.49387528913338,0.586,0.169,0,"0","Spock2"
"Acbd5",0,1.26474114486147,0.767,0.352,0,"0","Acbd5"
"Cacybp",0,1.18920324630717,0.827,0.412,0,"0","Cacybp"
"Apbb1",0,1.68567017843745,0.601,0.186,0,"0","Apbb1"
"Nbea",0,1.36956229296547,0.674,0.26,0,"0","Nbea"
"Nsg2",0,2.05663913599161,0.544,0.13,0,"0","Nsg2"
