"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cnih47",1.97719218208454e-40,0.562206688245807,0.359,0.249,4.82158085523136e-36,"21","Cnih4"
"Eif4ebp24",2.42072325329849e-40,0.66648320808631,0.345,0.242,5.9031757254937e-36,"21","Eif4ebp2"
"Hcfc1r15",9.4294353128689e-40,0.59639466139507,0.528,0.439,2.29946209539621e-35,"21","Hcfc1r1"
"Polr2m6",3.42511696172508e-39,0.668468934984736,0.366,0.266,8.35249022286277e-35,"21","Polr2m"
"mt-Nd67",5.25488662613561e-39,0.635263559139554,0.369,0.266,1.28145665264943e-34,"21","mt-Nd6"
"Micos103",1.7471186740922e-37,0.442928327549204,0.618,0.541,4.26052359864124e-33,"21","Micos10"
"Atp5g36",1.80264972439546e-37,0.4063618192731,0.732,0.67,4.39594161791077e-33,"21","Atp5g3"
"Ift436",1.82116189571521e-37,0.286694378126722,0.516,0.367,4.44108539889112e-33,"21","Ift43"
"Obp1a5",2.25544019585173e-37,0.933435181833388,0.3,0.204,5.50011646160403e-33,"21","Obp1a"
"Uqcr103",2.26051180854489e-37,0.415948682279462,0.742,0.7,5.51248409631757e-33,"21","Uqcr10"
"Anapc114",1.02638211229818e-36,0.666974091607225,0.363,0.265,2.50293541905034e-32,"21","Anapc11"
"Ndufs25",1.58933109861924e-36,0.63333627215206,0.46,0.374,3.87574281709288e-32,"21","Ndufs2"
"Twsg19",7.5659628060371e-36,0.676708683698508,0.299,0.207,1.84503568988021e-31,"21","Twsg1"
"Ndufa116",1.16041148428722e-35,0.467610237698343,0.659,0.592,2.82977944558281e-31,"21","Ndufa11"
"Prdx49",1.65284670824303e-35,0.670801792027828,0.32,0.226,4.03063198272145e-31,"21","Prdx4"
"Asap15",5.62500405659802e-35,0.587731602213748,0.294,0.199,1.37171348924199e-30,"21","Asap1"
"Anxa59",1.3367284946366e-34,0.42400769284399,0.709,0.637,3.25974610702081e-30,"21","Anxa5"
"Afap14",1.46286577476539e-34,0.706049064345284,0.264,0.176,3.56734447834287e-30,"21","Afap1"
"Myl12a11",3.93578218063697e-34,0.4943812952584,0.548,0.455,9.59779842570132e-30,"21","Myl12a"
"Epb413",4.37921351303857e-34,0.485330038414228,0.25,0.161,1.06791500728958e-29,"21","Epb41"
"Rasal28",8.8587885172834e-34,0.486393874599995,0.372,0.266,2.16030416782473e-29,"21","Rasal2"
"Capzb6",9.78600658692861e-34,0.348988960333794,0.58,0.482,2.38641556628841e-29,"21","Capzb"
"Sox48",1.66962155432006e-33,0.491185612872787,0.291,0.197,4.07153912236489e-29,"21","Sox4"
"Rbbp75",7.06902677448571e-33,0.500655348061547,0.402,0.302,1.72385286922608e-28,"21","Rbbp7"
"Smim114",2.06494241306573e-32,0.576908385089858,0.392,0.298,5.03556856850209e-28,"21","Smim11"
"Midn8",4.18781049620191e-32,0.605367619630745,0.308,0.216,1.0212394676038e-27,"21","Midn"
"Asph7",8.08599179865097e-32,0.592851117769234,0.277,0.19,1.97184996001903e-27,"21","Asph"
"Mtss25",1.28000864329786e-31,0.667950025277321,0.261,0.176,3.12142907754617e-27,"21","Mtss2"
"Mapre12",1.77239938618716e-31,0.530530572215379,0.461,0.375,4.322173143156e-27,"21","Mapre1"
"Rpl22l16",1.89872682344302e-31,0.280951569514842,0.759,0.676,4.63023523164814e-27,"21","Rpl22l1"
"Sfr15",1.07362207711328e-30,0.410736448430086,0.593,0.514,2.61813479724844e-26,"21","Sfr1"
"Clock6",1.44720194400046e-30,0.685986349429811,0.279,0.196,3.52914666063951e-26,"21","Clock"
"Mtdh3",1.98766703216081e-30,0.359741686952806,0.67,0.606,4.84712482462735e-26,"21","Mtdh"
"Pten6",1.36363361214056e-29,0.477347352236657,0.567,0.477,3.32535692656597e-25,"21","Pten"
"Bace16",2.62771818335205e-29,0.580356734406438,0.271,0.187,6.4079535619223e-25,"21","Bace1"
"Tmem1312",5.37461085525446e-28,0.627221440049946,0.25,0.172,1.31065260316235e-23,"21","Tmem131"
"Dynlrb16",9.61800578372268e-28,0.392529393952646,0.605,0.525,2.34544689041861e-23,"21","Dynlrb1"
