"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009142","nucleoside triphosphate biosynthetic process",106,-0.525742686570001,-1.96030765337178,2.69199689132373e-06,0.000452554588508089,0.000425445707532303,1246,"tags=39%, list=6%, signal=36%","Ndufc1/Ndufs8/Ndufv1/Eno1/Nme1/Ndufs4/Tmsb4x/Sdhb/Ndufs6/Ndufa9/Ndufs5/Ndufab1/Ndufa2/Pnp/Ndufb5/Ndufa11/Ndufb9/Ndufa5/Ndufa3/Sdhd/Ndufb3/Ndufa8/Ndufs7/Ndufv2/Ndufb2/Ndufb11/Ndufb8/Ndufa12/Ndufv3/Ndufb10/Ndufs2/Ndufa1/Ndufb7/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Ndufb4/Aldoa/Ndufa7/Ndufc2"
"GO:0016079","synaptic vesicle exocytosis",110,0.604458183186179,1.79255535469297,2.95049946620555e-06,0.000482606020796649,0.000453697001844695,4505,"tags=47%, list=23%, signal=37%","Rims3/Unc13b/Rims1/Erc1/Rims2/Pclo/Ppfia2/Cacna1b/Syt7/Unc13c/Cacnb4/Vamp1/Trim9/Synj1/Stxbp5/Camk2a/Stx19/Sv2c/Ctbp2/Prepl/Brsk1/Stx1a/Stxbp1/Sv2a/Snap29/Cspg5/Osbpl2/Cask/Syt11/Braf/Napb/Cacna1d/Stx2/Syn1/Stxbp5l/Slc4a8/Snap23/Atp2a2/Unc13a/Cadps/Fbxo45/Prkca/Snapin/Ncs1/Grik5/Stxbp2/Cadps2/Dnm1l/Cacna1a/Syt5/Dvl1/Syt9"
"GO:0046390","ribose phosphate biosynthetic process",157,-0.455419071984457,-1.79900388687689,4.43680969125578e-06,0.000706620322407368,0.000664292420532894,1769,"tags=33%, list=9%, signal=30%","Uck1/Ak2/Papss1/Guk1/Ak1/Ndufa10/Stoml2/Pfas/Ndufc1/Ndufs8/Ndufv1/Eno1/Nme1/Ndufs4/Tmsb4x/Aprt/Sdhb/Ndufs6/Ndufa9/Ndufs5/Ndufab1/Ndufa2/Pnp/Ndufb5/Ndufa11/Ndufb9/Ndufa5/Ndufa3/Sdhd/Paics/Ndufb3/Ndufa8/Ndufs7/Ndufv2/Ndufb2/Ndufb11/Ndufb8/Cmpk1/Ndufa12/Ndufv3/Ndufb10/Ndufs2/Ndufa1/Ndufb7/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Ndufb4/Aldoa/Ndufa7/Ndufc2"
"GO:0006754","ATP biosynthetic process",84,-0.567968396580663,-2.08707752029473,5.05794619506694e-06,0.000784889496731926,0.000737873122384259,1246,"tags=46%, list=6%, signal=44%","Ndufc1/Ndufs8/Ndufv1/Eno1/Ndufs4/Tmsb4x/Sdhb/Ndufs6/Ndufa9/Ndufs5/Ndufab1/Ndufa2/Ndufb5/Ndufa11/Ndufb9/Ndufa5/Ndufa3/Sdhd/Ndufb3/Ndufa8/Ndufs7/Ndufv2/Ndufb2/Ndufb11/Ndufb8/Ndufa12/Ndufv3/Ndufb10/Ndufs2/Ndufa1/Ndufb7/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Ndufb4/Aldoa/Ndufa7/Ndufc2"
"GO:0009260","ribonucleotide biosynthetic process",151,-0.46623984284235,-1.83616571305861,5.97520032822536e-06,0.000904047809660498,0.000849893625633108,1769,"tags=34%, list=9%, signal=32%","Uck1/Ak2/Papss1/Guk1/Ak1/Ndufa10/Stoml2/Pfas/Ndufc1/Ndufs8/Ndufv1/Eno1/Nme1/Ndufs4/Tmsb4x/Aprt/Sdhb/Ndufs6/Ndufa9/Ndufs5/Ndufab1/Ndufa2/Pnp/Ndufb5/Ndufa11/Ndufb9/Ndufa5/Ndufa3/Sdhd/Paics/Ndufb3/Ndufa8/Ndufs7/Ndufv2/Ndufb2/Ndufb11/Ndufb8/Cmpk1/Ndufa12/Ndufv3/Ndufb10/Ndufs2/Ndufa1/Ndufb7/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Ndufb4/Aldoa/Ndufa7/Ndufc2"
"GO:0001578","microtubule bundle formation",120,0.567852498205633,1.69784500981239,1.4193186839721e-05,0.0019976085291626,0.00187794797720177,4230,"tags=47%, list=21%, signal=37%","Cfap65/Ulk4/Tbc1d32/Dcx/Cfap44/Togaram1/Bbof1/Cfap47/Lrguk/Map2/Fsip1/Dnaaf1/Ccdc40/Dnal1/Cfap57/Ccdc66/Ttll5/Tppp/Drc7/Cfap58/Nav1/Cc2d2a/Spag1/Ccser2/Ttll6/Jhy/Ttc12/Lrrc61/Foxj1/Ofd1/Map7/Ccdc39/Cdk5rap2/Mark4/Zmynd10/Cfap69/Neurl1a/Hydin/Cep131/Map1b/Tppp3/Gas2l1/Prc1/Ccdc65/Mtcl1/Drc1/Map1s/Lrrc23/Spag16/Rsph4a/Cfap74/Spast/Stk36/Ccdc103/Spef2/Bbs2"
"GO:0051962","positive regulation of nervous system development",341,0.470083732876311,1.50487139190912,1.35978164827838e-05,0.0019976085291626,0.00187794797720177,6409,"tags=48%, list=32%, signal=33%","Apoe/Nin/Dcx/Pak1/Kalrn/Cdkl5/Hdac6/Sema7a/Grip1/Il33/Tnik/Ptprz1/Arhgap32/Golga2/Tbc1d24/Tspo/Myo5b/Dscam/Il6st/Shtn1/Adgrl3/Snap91/Jade2/Synj1/Plxnb1/Fzd3/Parp6/Pak3/Il1b/Eif2b2/Mtor/Bcl11a/Crabp2/Robo1/Lingo2/Pias2/Sox11/Adgrb3/Golga4/Agrn/Ptk2/Ell3/Caprin2/Adnp/Cask/Adgrl2/Anapc2/Braf/Flrt1/Slc30a1/Zfyve27/Tenm4/Dmrta2/Robo2/Bin1/Trim32/Cdh4/Vim/Nrg1/Slc7a5/Id2/Wls/Nrp1/Efna5/Neurl1a/Map6/L1cam/Numb/Map1b/Dlg5/Dicer1/Smurf1/Baiap2/Dbn1/Mapt/Lrrn3/Drd2/Prmt5/Mdk/Plag1/Clstn2/Serpinf1/Ptprd/Mfn1/Dlg4/Iqsec2/Opa1/Flrt3/Marcks/Tiam2/Prkca/Egr2/Cdkl3/Nlgn3/Slit2/Ist1/Mapk8/Fbxw8/Bmpr2/Pax6/Lrp8/Atxn1/Spen/Cx3cl1/Dag1/Rnd2/Lrp2/Dixdc1/Bhlhb9/Dnm1l/Bex1/Fxr2/Eef2k/Star/Plxnc1/Hap1/Numbl/Macf1/Notch1/Sox2/Foxg1/Lrp1/Caprin1/Hes1/Spint1/Xrcc5/Stau2/Sema4d/Lig4/Flt1/Iqsec1/Mfn2/Nrxn1/Wnt5a/Adgrb2/Amigo1/Stk11/Trf/Cx3cr1/Limk1/Fmr1/Clstn3/Adcy10/Dbnl/Plxnb3/Sgk1/Ptprf/Tlr2/Trak1/Vamp7/Ss18l1/Cul7/Cdon/Xrcc2/Grid2/Ntrk2/Twf2/Plxnd1/Map3k13/Man2a1/Xrcc6/Trpv2/Fbxo31/Cip2a"
"GO:0007018","microtubule-based movement",400,0.460988141916053,1.48169280083407,1.41185381112076e-05,0.0019976085291626,0.00187794797720177,4230,"tags=39%, list=21%, signal=31%","Nme7/Cfap65/Ulk4/Cep128/Dnah11/Bloc1s3/Agbl4/Ccdc146/Efhb/Nek10/Cfap44/Rfx3/Efcab6/Rpgr/Bbof1/Map4/Hdac6/Kif5a/Kif6/Cfap47/Wdr19/Ift172/Ank3/Mak/App/Trak2/Clip3/Bicdl2/Map2/Cfap54/Kif27/Wdpcp/Dnaaf1/Ccdc40/Arhgap21/Bicd1/Agtpbp1/Map1a/Armc3/Cfap57/Spata33/Dst/Ttll5/Myo5a/Drc7/Cfap70/Kif13b/Kif16b/Cfap58/Fuz/Nphp4/Nsun7/Sord/Klc1/Cfap45/Eno4/Ttll6/Bsn/Jhy/Terf2/Lca5/Fmn2/Traf3ip1/Katnb1/Ttc12/Intu/Ap3d1/Caly/Cyb5d1/Tub/Ing2/Slc9b2/Copg2/Hspb1/Ofd1/Flot2/Pltp/Ap3m2/Kif3b/Ints13/Ccdc39/Cfap61/Ift80/Ssx2ip/Kif5c/Efhc2/Ash1l/Zmynd10/Cfap69/Camsap3/Neurl1a/Kif1c/Hydin/Map6/Vps13a/Atg16l1/Cep131/Map1b/Rhot1/Ttc21a/Wdr35/Ribc2/Mapt/Dync2h1/Stard7/Kif9/Sun2/Dync1h1/Bloc1s5/Bloc1s1/Mreg/Ccdc65/Spg11/Bbs1/Sod1/Bicd2/Sybu/Dusp3/Rsph14/Kif11/Spg7/Cabcoco1/Drc1/Efhc1/Cep78/Tmem201/Aqp4/Lrrc23/Spag16/Mapk8ip3/Kif13a/Ap3b1/Dydc1/Kif21b/Rsph4a/Snapin/Kif3c/Inpp5b/Ap3b2/Ift122/Wasf1/Dynlt1b/Spast/Tmf1/Stk36/Kpnb1/Htt/Kif1a/Prkcz/Syne2/Rhot2/Ccdc103/Bicdl1/Spef2/Hap1/Bbs2"
"GO:0015986","proton motive force-driven ATP synthesis",53,-0.627322248278128,-2.11230534908831,1.56392362708082e-05,0.00212052686233331,0.00199350326832566,1246,"tags=68%, list=6%, signal=64%","Ndufc1/Ndufs8/Ndufv1/Ndufs4/Sdhb/Ndufs6/Ndufa9/Ndufs5/Ndufab1/Ndufa2/Ndufb5/Ndufa11/Ndufb9/Ndufa5/Ndufa3/Sdhd/Ndufb3/Ndufa8/Ndufs7/Ndufv2/Ndufb2/Ndufb11/Ndufb8/Ndufa12/Ndufv3/Ndufb10/Ndufs2/Ndufa1/Ndufb7/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Ndufb4/Ndufa7/Ndufc2"
"GO:0072522","purine-containing compound biosynthetic process",218,-0.403262579631796,-1.67094210026776,1.57673015209846e-05,0.00212052686233331,0.00199350326832566,1748,"tags=27%, list=9%, signal=25%","Ak2/Papss1/Guk1/Ak1/Ndufa10/Stoml2/Bckdk/Pfas/Snca/Vdac1/Ndufc1/Ndufs8/Dguok/Ndufv1/Eno1/Acat1/Nme1/Ndufs4/Tmsb4x/Aprt/Sdhb/Ndufs6/Pdhb/Ndufa9/Ndufs5/Ndufab1/Ndufa2/Pnp/Ndufb5/Ndufa11/Ndufb9/Ndufa5/Ndufa3/Rd3/Sdhd/Paics/Ndufb3/Ndufa8/Ndufs7/Ndufv2/Ndufb2/Ndufb11/Ndufb8/Ndufa12/Ndufv3/Mpc2/Ndufb10/Ndufs2/Ndufa1/Ndufb7/Ndufa6/Ndufb6/Ndufa13/Ndufs3/Mpc1/Ndufb4/Aldoa/Ndufa7/Ndufc2"
